"구분","단기","중장기","기타(신용보증 등)","계","보험료"
"1992","78173422000","","","78173422000","270421784"
"1993","145731613000","94922048000","","240653661000","6249673578"
"1994","91762126000","250828618000","417385000","343008129000","10503752327"
"1995","157089793000","5483193000","362120000","162935106000","404126494"
"1996","199220699000","10000374000","284171000","209505244000","319340520"
"1997","275067093000","91356888000","1263997000","367687978000","819152740"
"1998","557417701000","49340517000","622933000","607381151000","1024260890"
"1999","498355192000","146728610000","3187964000","648271766000","2364870700"
"2000","403820427000","105683346000","1799772000","511303545000","1187655220"
"2001","303317871000","52531287000","2353736000","358202894000","1045842940"
"2002","305975696000","2283599000","12154652867","320413947867","658783910"
"2003","971743667000","2974897000","196666000000","1171384564000","889406650"
"2004","1119658090000","106238082000","445210000000","1671106172000","7925540400"
"2005","1170604650000","1214246000","305801000000","1477619896000","754066200"
"2006","1530005158000","186688952000","738216000000","2454910110000","6266434730"
"2007","1333689675000","605867262810","151832000000","2091388937810","13826494820"
"2008","2182708614000","621019810000","420058000000","3223786424000","35544856747"
"2009","4818050714000","174620550000","31993036800","5024664300800","4069223000"
"2010","5902433256000","332308205000","12291207000","6247032668000","11637166120"
"2011","7359341810000","40084813000","21751149000","7421177772000","6797117230"
"2012","10143377523000","718699417420","27003206437","10889080146857","33209674400"
"2013","9647698481000","20456421000","34225052183","9702379954183","7915443300"
"2014","10613487246000","10791994000","19649642640","10643928882640","9216187490"
"2015","9092615486000","939227450000","16927968585","10048770904585","38456590760"
"2016","7423360568000","280914000","18002870200","7441644352200","5681546170"
"2017","7315253440000","892004517000","14639911000","8221897868000","23199092380"
"2018","8115141536000","1220303120000","16988256000","9352432912000","46666146970"
"2019","8362813661000","980528588000","29762460000","9373104709000","39755259010"
